,time,sex,age,is_citizen,region,where_live,lang_before,lang_after,movies_before,movies_after,content_before,content_after
131,2023/02/01 3:26:31 пп GMT+2,Female,23,yes,East,in_Ukraine,5,2,['russian'],['Ukrainian'],4,1
132,2023/02/01 3:34:06 пп GMT+2,Male,28,yes,Сentral-north,in_Ukraine,4,2,"['Ukrainian', 'russian']","['Ukrainian', 'other']",3,2
133,2023/02/01 5:43:38 пп GMT+2,Female,28,yes,Сentral-north,in_Ukraine,1,1,"['Ukrainian', 'russian']",['Ukrainian'],3,1
134,2023/02/02 8:54:52 дп GMT+2,Female,23,yes,Сentral-north,in_Ukraine,2,2,"['Ukrainian', 'russian']",['Ukrainian'],4,2
135,2023/02/02 12:00:39 пп GMT+2,Male,30,yes,East,in_Ukraine,4,1,['russian'],['Ukrainian'],3,2
136,2023/02/03 12:32:14 пп GMT+2,Female,17,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
137,2023/02/03 5:24:57 пп GMT+2,Male,18,yes,West,in_Ukraine,3,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
138,2023/02/05 4:33:57 пп GMT+2,Female,21,yes,Сentral-north,temp_abroad,3,2,['Ukrainian'],['Ukrainian'],3,1
139,2023/02/05 5:10:08 пп GMT+2,Female,19,yes,Сentral-north,temp_abroad,4,2,['English'],['English'],4,1
140,2023/02/05 5:35:54 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,3,3,['russian'],"['Ukrainian', 'English']",2,1
141,2023/02/05 5:44:29 пп GMT+2,Female,18,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
142,2023/02/05 5:45:30 пп GMT+2,Male,18,yes,West,temp_abroad,1,1,['English'],"['Ukrainian', 'English']",2,1
143,2023/02/05 5:45:57 пп GMT+2,Female,20,yes,Сentral-north,temp_abroad,4,2,['English'],['English'],2,1
144,2023/02/05 5:46:47 пп GMT+2,Male,20,yes,Сentral-north,temp_abroad,5,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,1
145,2023/02/05 6:00:34 пп GMT+2,Female,20,yes,Сentral-north,temp_abroad,2,1,['English'],['English'],2,1
146,2023/02/05 6:02:44 пп GMT+2,Female,19,yes,Сentral-north,temp_abroad,1,1,"['English', 'russian']","['Ukrainian', 'English']",4,2
147,2023/02/05 6:05:57 пп GMT+2,Female,18,yes,West,temp_abroad,1,1,['English'],"['English', 'other']",3,1
148,2023/02/05 6:17:47 пп GMT+2,Female,20,yes,Сentral-north,temp_abroad,1,1,['Ukrainian'],"['Ukrainian', 'English']",2,1
149,2023/02/05 7:20:50 пп GMT+2,Female,16,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
150,2023/02/05 7:41:05 пп GMT+2,Male,18,yes,East,temp_abroad,4,3,"['English', 'russian']","['Ukrainian', 'English']",3,1
151,2023/02/05 9:00:48 пп GMT+2,Female,18,yes,South,in_Ukraine,5,1,['russian'],"['Ukrainian', 'English']",5,2
152,2023/02/05 10:57:56 пп GMT+2,Female,16,yes,Сentral-north,in_Ukraine,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian', 'other']",3,2
153,2023/02/06 12:52:50 дп GMT+2,Female,14,yes,Сentral-north,temp_abroad,3,2,['Ukrainian'],['Ukrainian'],1,1
154,2023/02/06 7:41:04 пп GMT+2,Male,49,yes,Сentral-north,in_Ukraine,4,2,['Ukrainian'],['Ukrainian'],2,1
155,2023/02/07 11:52:43 пп GMT+2,Male,17,yes,Сentral-north,temp_abroad,1,1,['English'],['English'],2,1
156,2023/02/07 11:57:35 пп GMT+2,Male,18,yes,Сentral-north,temp_abroad,4,4,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",3,3
157,2023/02/08 12:02:27 дп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,4,2,['russian'],"['Ukrainian', 'English']",4,1
158,2023/02/08 12:03:22 дп GMT+2,Female,18,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
159,2023/02/08 12:07:04 дп GMT+2,Male,19,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,2
160,2023/02/08 12:12:23 дп GMT+2,Male,19,yes,South,temp_abroad,4,4,['English'],"['Ukrainian', 'English', 'russian']",2,2
161,2023/02/08 12:12:33 дп GMT+2,Female,18,yes,West,in_Ukraine,3,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
162,2023/02/08 12:28:00 дп GMT+2,NB,18,yes,Сentral-north,in_Ukraine,4,1,['other'],['other'],3,1
163,2023/02/08 12:33:49 дп GMT+2,Male,19,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
164,2023/02/08 12:35:37 дп GMT+2,Female,19,yes,West,in_Ukraine,2,2,"['English', 'russian']","['Ukrainian', 'English']",3,2
165,2023/02/08 12:51:00 дп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,5,4,['russian'],['russian'],4,1
166,2023/02/08 1:08:29 дп GMT+2,Female,18,yes,South,in_Ukraine,4,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
167,2023/02/08 1:12:10 дп GMT+2,Female,20,yes,Сentral-north,in_Ukraine,1,1,"['English', 'russian']","['Ukrainian', 'English']",2,1
167,2023/02/08 1:12:10 дп GMT+2,Female,20,yes,West,in_Ukraine,1,1,"['English', 'russian']","['Ukrainian', 'English']",2,1
168,2023/02/08 1:33:08 дп GMT+2,Female,18,yes,Сentral-north,temp_abroad,4,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
168,2023/02/08 1:33:08 дп GMT+2,Female,18,yes,East,temp_abroad,4,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
